zip,dog_patients
08831,1
16323,9
21639,1
28117,1
31047,3
32114,1
39209,1
46217,1
46349,1
48446,1
49435,39
52621,1
53575,1
54660,10
55373,3
60620,1
62627,1
70445,1
71112,2
72020,1
72703,1
73149,1
74040,1
74060,1
74115,1
74204,1
74738,1
75001,20
75002,26
75006,72
75007,35
75009,24
75010,31
75013,11
75019,36
75020,5
75022,5
75023,32
75024,25
75025,28
75028,15
75030,1
75032,129
75033,30
75034,38
75035,23
75036,16
75038,61
75039,39
75040,275
75041,142
75042,119
75043,285
75044,99
75048,60
75049,49
75050,111
75051,140
75052,289
75054,45
75056,76
75057,12
75058,2
75060,259
75061,170
75062,136
75063,46
75065,6
75067,50
75068,69
75069,28
75070,26
75071,48
75072,25
75074,56
75075,36
75077,16
75078,19
75080,60
75081,81
75082,35
75083,2
75086,3
75087,159
75088,111
75089,146
75090,3
75092,5
75093,29
75094,18
75098,152
75101,4
75102,12
75103,31
75104,127
75106,2
75109,31
75110,171
75112,2
75114,294
75115,121
75116,104
75117,3
75118,2
75119,283
75120,11
75121,1
75124,11
75125,117
75126,1033
75131,1
75132,1
75134,91
75135,41
75137,77
75140,10
75141,33
75142,1061
75143,117
75144,14
75146,95
75147,44
75148,5
75149,467
75150,310
75152,95
75153,4
75154,307
75155,39
75156,28
75157,8
75158,146
75159,642
75160,314
75161,182
75163,2
75164,1
75165,451
75166,35
75167,109
75168,1
75169,229
75170,1
75172,33
75173,49
75175,1
75180,255
75181,223
75182,31
75183,1
75189,343
75201,77
75202,12
75203,84
75204,116
75205,23
75206,107
75207,18
75208,192
75209,17
75210,57
75211,431
75212,215
75214,79
75215,137
75216,428
75217,1777
75218,80
75219,140
75220,59
75221,1
75223,115
75224,198
75225,9
75226,28
75227,1039
75228,771
75229,33
75230,29
75231,77
75232,149
75233,83
75234,61
75235,77
75236,71
75237,38
75238,94
75240,41
75241,192
75242,1
75243,103
75244,11
75246,7
75247,4
75248,55
75249,48
75251,7
75252,27
75253,501
75254,40
75258,1
75261,1
75277,2
75287,61
75297,1
75317,1
75321,1
75357,2
75401,14
75402,14
75407,40
75409,10
75412,1
75414,1
75418,5
75423,4
75424,4
75428,2
75429,1
75440,1
75442,16
75446,4
75452,4
75453,10
75454,19
75459,2
75460,1
75472,8
75474,133
75475,1
75476,5
75479,2
75480,1
75482,1
75485,1
75490,1
75494,1
75495,7
75501,1
75509,1
75570,1
75644,2
75703,1
75704,1
75706,2
75751,8
75752,1
75754,4
75771,1
75773,1
75790,6
75831,1
75840,3
75846,5
75853,1
75859,5
75860,6
75952,1
76001,50
76002,53
76003,1
76005,8
76006,30
76007,1
76008,24
76009,125
76010,61
76011,20
76012,44
76013,40
76014,45
76015,24
76016,61
76017,67
76018,38
76020,35
76021,13
76022,16
76023,3
76028,96
76031,21
76033,23
76034,5
76035,1
76036,79
76039,30
76040,30
76041,3
76043,1
76044,15
76048,26
76049,13
76050,11
76051,18
76052,46
76053,23
76054,4
76055,6
76058,34
76059,3
76060,23
76061,24
76062,1
76063,123
76064,8
76065,184
76067,3
76071,6
76073,6
76078,5
76082,15
76084,46
76085,19
76086,5
76087,21
76088,5
76092,5
76093,2
76094,1
76095,1
76096,1
76102,20
76103,143
76104,260
76105,339
76106,288
76107,131
76108,287
76109,31
76110,319
76111,176
76112,295
76113,1
76114,188
76115,230
76116,681
76117,48
76118,21
76119,636
76120,35
76123,127
76126,234
76129,1
76131,85
76132,39
76133,495
76134,77
76135,40
76137,71
76140,223
76148,27
76149,2
76150,1
76155,4
76159,1
76161,1
76164,63
76169,1
76177,23
76179,99
76180,49
76182,25
76201,7
76205,6
76207,8
76208,7
76209,6
76210,10
76216,1
76224,4
76226,8
76227,47
76234,8
76235,1
76239,1
76240,1
76244,92
76247,22
76248,8
76249,7
76258,3
76259,5
76262,16
76266,10
76272,3
76273,1
76302,3
76308,1
76401,2
76402,1
76426,3
76462,5
76502,1
76513,1
76544,2
76549,1
76623,1
76626,13
76627,4
76634,2
76635,4
76636,1
76639,7
76641,17
76642,4
76645,12
76648,1
76651,29
76655,1
76667,40
76670,3
76671,1
76678,2
76679,10
76681,3
76682,1
76684,1
76686,2
76690,1
76692,6
76693,1
76705,2
76706,2
76710,1
76850,1
76900,1
76902,1
76904,1
77083,1
77345,1
77354,1
77358,1
77375,1
77377,1
77388,2
77429,1
77508,1
77705,3
77840,1
77861,2
77864,1
78002,1
78023,5
78069,1
78073,4
78109,10
78112,1
78148,3
78154,1
78155,1
78201,295
78202,173
78203,79
78204,66
78205,5
78207,317
78208,24
78209,87
78210,321
78211,171
78212,95
78213,295
78214,170
78215,31
78216,143
78217,232
78218,282
78219,43
78220,145
78221,274
78222,143
78223,471
78224,114
78225,81
78226,52
78227,250
78228,339
78229,104
78230,72
78231,14
78232,108
78233,160
78234,8
78235,9
78237,269
78238,57
78239,61
78240,186
78242,234
78244,95
78245,143
78247,209
78248,18
78249,146
78250,138
78251,122
78252,41
78253,70
78254,103
78255,16
78256,26
78257,24
78258,98
78259,83
78260,40
78261,34
78263,1
78264,7
78266,10
78288,1
78294,1
78296,1
78501,1
78504,1
78541,1
78602,8
78634,1
78664,1
78705,1
78721,1
78726,1
78746,1
79938,1
80010,1
84604,2
85253,1
89436,1
91767,1
98370,1
